link_id,o_node_id,d_node_id,estimated_count,target_count
1,1,2,0.0,0.0
2,1,3,44.50652350425072,41.06
3,2,1,156.9693277883435,155.28
4,2,6,42.21468357167014,43.2
5,3,1,425.1833241023077,420.88
6,3,4,244.77410883667264,243.5
7,3,12,13.996867547557718,13.6
8,4,3,167.1789087248038,168.56
9,4,5,445.3645748383075,444.18
10,4,11,9.714300536546714,5.4
11,5,4,87.71454650408656,87.36
12,5,6,103.65326714199895,104.62
13,5,9,0.0,0.0
14,6,2,119.18418815358442,118.48
15,6,5,256.69618074055967,254.96
16,6,8,45.540372186763435,43.72
17,7,8,139.3137984785357,140.56
18,7,18,50.239135274090344,49.5
19,8,6,205.5529642580193,200.04
20,8,7,17.350778411098393,19.8
21,8,9,42.524990179564114,35.8
22,8,16,6.6699384922616565,5.94
23,9,5,271.65533194223235,271.24
24,9,8,11.293332739085924,8.0
25,9,10,24.75789358890514,22.0
26,10,9,215.1818656575638,215.44
27,10,11,171.31576762471389,169.1
28,10,15,47.033023477232895,43.78
29,10,16,36.679374056722594,34.0
30,10,17,0.0,0.0
31,11,4,199.769220537039,197.28
32,11,10,71.8400967292218,69.16
33,11,12,191.6083599636437,189.1
34,11,14,15.158878679129641,13.0
35,12,3,402.2689991321329,399.06
36,12,11,41.437853839474116,40.56
37,12,13,0.0,0.0
38,13,12,178.1018493288607,177.52
39,13,24,8.984237623821274,11.88
40,14,11,155.9088747738466,153.48
41,14,15,54.058523883922945,50.0
42,14,23,44.61476863439942,41.8
43,15,10,146.31446294972548,142.28
44,15,14,131.13055203331388,126.28
45,15,19,30.001744514921022,28.2
46,15,22,32.792371331859634,31.6
47,16,8,45.95140351993193,39.6
48,16,10,136.91327555009002,137.2
49,16,17,18.41669119370282,17.82
50,16,18,107.17268468654623,105.62
51,17,10,30.38456121050534,31.68
52,17,16,61.04342445445092,57.76
53,17,19,28.527927445120227,27.72
54,18,7,122.20243236860766,120.76
55,18,16,114.06164612656956,113.44
56,18,20,107.67602568294261,108.9
57,19,15,76.48527079576655,71.28
58,19,17,51.53960105634349,49.84
59,19,20,25.547546090708703,25.88
60,20,18,106.52856055046867,108.78
61,20,19,35.04314626156476,31.68
62,20,21,19.68725688557373,19.8
63,20,22,67.65416680653169,69.3
64,21,20,30.767844108086354,29.08
65,21,22,8.027353509539713,7.2
66,21,24,75.7002395212584,77.4
67,22,15,92.66261242289792,93.3
68,22,20,34.92197850834431,36.0
69,22,21,59.40608258971688,56.8
70,22,23,0.0,0.0
71,23,14,18.29305769315098,16.0
72,23,22,38.51700807432061,38.0
73,23,24,43.372804516765164,41.8
74,24,13,127.08632692233398,130.0
75,24,21,15.402327720560343,17.08
76,24,23,5.568364091188289,4.0
