path_id,o_zone_id,d_zone_id,estimated_proportion,target_proportion
1,2,1,0.6254296854080893,0.8
2,2,1,0.3745703145919107,0.2
3,2,5,0.34386671918668377,0.4
4,2,5,0.21653784336241877,0.2
5,2,5,0.2123496522313362,0.2
6,2,5,0.22724578521956126,0.2
7,3,1,0.9338441226566166,0.8
8,3,1,0.06615587734338334,0.2
9,4,1,0.6528112539718527,0.8
10,4,1,0.3471887460281474,0.2
11,4,5,0.6231969211273982,0.8
12,4,5,0.37680307887260184,0.2
13,6,5,0.4068224452473318,0.4
14,6,5,0.21841444166870147,0.2
15,6,5,0.15289226175709447,0.2
16,6,5,0.22187085132687231,0.2
17,7,5,0.3422292183337817,0.4
18,7,5,0.2169039488189045,0.2
19,7,5,0.22789908751599056,0.2
20,7,5,0.21296774533132323,0.2
21,8,5,0.29981667174295784,0.4
22,8,5,0.2562370031473371,0.2
23,8,5,0.2216132961021494,0.2
24,8,5,0.22233302900755575,0.2
25,9,1,0.2582409085524824,0.4
26,9,1,0.21227512784777655,0.2
27,9,1,0.2712840970578904,0.2
28,9,1,0.2581998665418507,0.2
29,9,5,0.28419390833851566,0.4
30,9,5,0.2827725376823827,0.2
31,9,5,0.22068936061634198,0.2
32,9,5,0.21234419336275967,0.2
33,10,1,0.24768808531378092,0.4
34,10,1,0.2789112687605725,0.2
35,10,1,0.2103355760041256,0.2
36,10,1,0.26306506992152096,0.2
37,10,5,0.27770450784163475,0.4
38,10,5,0.24619273643523837,0.2
39,10,5,0.2344231285503624,0.2
40,10,5,0.2416796271727645,0.2
41,11,1,0.16386410161723033,0.2
42,11,1,0.24445792813350214,0.2
43,11,1,0.24903651495944923,0.2
44,11,1,0.17389664555865705,0.2
45,11,1,0.1687448097311612,0.2
46,11,5,0.28468590983528785,0.4
47,11,5,0.25609932483689735,0.2
48,11,5,0.2123106046529798,0.2
49,11,5,0.2469041606748351,0.2
50,12,1,0.5469936646912976,0.6
51,12,1,0.277238207232238,0.2
52,12,1,0.1757681280764644,0.2
53,13,1,0.6327395589992748,0.6
54,13,1,0.1497378926061876,0.2
55,13,1,0.21752254839453763,0.2
56,14,1,0.13531626171161387,0.2
57,14,1,0.25068629866199715,0.2
58,14,1,0.21894716829897684,0.2
59,14,1,0.2287792317856041,0.2
60,14,1,0.1662710395418081,0.2
61,14,5,0.28205523892736273,0.4
62,14,5,0.2249049290941047,0.2
63,14,5,0.22973009573454112,0.2
64,14,5,0.2633097362439915,0.2
65,15,1,0.3023303924072426,0.4
66,15,1,0.2728922159540035,0.2
67,15,1,0.1832248443295776,0.2
68,15,1,0.24155254730917639,0.2
69,15,5,0.27653874320882893,0.4
70,15,5,0.23592701854859904,0.2
71,15,5,0.2592445422569909,0.2
72,15,5,0.22828969598558116,0.2
73,16,5,0.2485955728318611,0.2
74,16,5,0.17979722152292274,0.2
75,16,5,0.2227170366308152,0.2
76,16,5,0.14425952068846185,0.2
77,16,5,0.204630648325939,0.2
78,17,5,0.20222625846949885,0.2
79,17,5,0.18925642067481893,0.2
80,17,5,0.19977448728331582,0.2
81,17,5,0.21420121159052916,0.2
82,17,5,0.1945416219818372,0.2
83,18,5,0.3436138778339045,0.4
84,18,5,0.21370143964757662,0.2
85,18,5,0.2114922904068026,0.2
86,18,5,0.23119239211171627,0.2
87,19,5,0.2144665004699749,0.2
88,19,5,0.21523805407181382,0.2
89,19,5,0.19726503662543105,0.2
90,19,5,0.18658132125659732,0.2
91,19,5,0.18644908757618298,0.2
92,20,5,0.288801902421741,0.4
93,20,5,0.22090897587376393,0.2
94,20,5,0.24766418357284403,0.2
95,20,5,0.24262493813165106,0.2
96,21,1,0.3906575693716049,0.6
97,21,1,0.2789939225487535,0.2
98,21,1,0.33034850807964167,0.2
99,21,5,0.25426637720735384,0.4
100,21,5,0.23443377535492257,0.2
101,21,5,0.2617753057295227,0.2
102,21,5,0.24952454170820085,0.2
103,22,1,0.406079700735584,0.6
104,22,1,0.32557973079510094,0.2
105,22,1,0.2683405684693149,0.2
106,22,5,0.2596633408061957,0.4
107,22,5,0.2580386781368087,0.2
108,22,5,0.24837201789721491,0.2
109,22,5,0.2339259631597806,0.2
110,23,1,0.3053088499952601,0.4
111,23,1,0.19251540670742567,0.2
112,23,1,0.21002330820071302,0.2
113,23,1,0.29215243509660116,0.2
114,23,5,0.20864811410081063,0.2
115,23,5,0.19614150088607507,0.2
116,23,5,0.1872676556087876,0.2
117,23,5,0.20301942015454322,0.2
118,23,5,0.20492330924978355,0.2
119,24,1,0.3962807336920623,0.6
120,24,1,0.32023380075310254,0.2
121,24,1,0.2834854655548352,0.2
122,24,5,0.20457566250070836,0.2
123,24,5,0.20545783220089026,0.2
124,24,5,0.20461680979013883,0.2
125,24,5,0.18812897573248866,0.2
126,24,5,0.1972207197757738,0.2
